name1,name2,name3,name4,name5,mean_cp,mean_odds,uniq_a,uniq_b,shared,score,treeLevel
Human Cell Line (cell),LOCATION_OF,Vitamin D3 Receptor (gngm),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),3.27e-22,266.11,14,14,0,28.0,2.0
Human Cell Line (cell),LOCATION_OF,Vitamin D3 Receptor (gngm),PREDISPOSES,Malignant neoplasm of prostate (neop),1.47e-20,265.34,14,13,0,25.07,2.0
Human Cell Line (cell),LOCATION_OF,Vitamin D3 Receptor (gngm),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.5e-09,277.61,14,6,0,8.57,2.0
Diagnosis (hlca),TREATS,Vitamin D Deficiency (dsyn),PREDISPOSES,Malignant neoplasm of prostate (neop),3.65e-07,215.75,4,10,0,5.6,4.0
Vitamin D (phsu),PREDISPOSES,Vitamin D Deficiency (dsyn),PREDISPOSES,Malignant neoplasm of prostate (neop),3.77e-16,277.63,18,10,0,15.56,21.0
Assessment procedure (hlca),TREATS,Vitamin D Deficiency (dsyn),PREDISPOSES,Malignant neoplasm of prostate (neop),2.15e-13,277.6,7,10,0,11.9,4.0
Vitamin D Deficiency (dsyn),PROCESS_OF,cohort (popg),LOCATION_OF,Single Nucleotide Polymorphism (nusq),1.23e-12,185.68,59,30,0,45.25,1.0
Vitamin D Deficiency (dsyn),PROCESS_OF,cohort (popg),LOCATION_OF,Prostate-Specific Antigen (aapp),8.21e-73,265.44,59,45,0,79.32,1.0
Vitamin D Deficiency (dsyn),PROCESS_OF,cohort (popg),LOCATION_OF,FLVCR1 (gngm),3.27e-22,263.12,59,14,0,17.32,1.0
Vitamin D Deficiency (dsyn),PROCESS_OF,cohort (popg),LOCATION_OF,ERG gene|ERG (aapp),7.62e-13,274.63,59,8,0,9.08,1.0
Vitamin D Deficiency (dsyn),PROCESS_OF,cohort (popg),USES,Tissue Microarray (resd),1.59e-06,195.19,59,7,0,7.83,1.0
